ลำดับ	นโยบาย	solution	
1	รัฐธรรมนูญใหม่ทั้งฉบับ	ร่างรัฐธรรมนูญใหม่โดยมีเนื้อหาที่ครอบคลุมอย่างน้อย 3 ด้านปิดช่องรัฐประหาร เพื่อไม่ให้รัฐธรรมนูญถูกฉีกได้ง่ายเพิ่มสิทธิของประชาชนในการต่อต้านรัฐประหาร และ กำหนดให้เป็นหน้าที่ของเจ้าหน้าที่ในการไม่ปฏิบัติตามคำสั่งของคณะรัฐประหารห้ามศาลทั้งปวงรับรองรัฐประหาร และกำหนดให้ทุกสถาบันทางการเมืองมีหน้าที่ร่วมกันในการปกป้องประชาธิปไตยห้ามนิรโทษกรรมคณะรัฐประหาร และ เปิดช่องให้ประชาชนดำเนินคดีกับผู้ก่อรัฐประหารในความผิดฐานกบฎได้ปกป้องเสียงของประชาชน ผ่านการรื้อกลไกที่ถูกใช้ในการสืบทอดอำนาจยกเลิกวุฒิสภาของ คสช. ทำให้รัฐสภาเป็นของประชาชน อำนาจ-ที่มามีความชอบธรรมยกเครื่องศาลรัฐธรรมนูญ-องค์กรอิสระ ทำให้เป็นกลาง มีระบบตรวจสอบที่ยึดโยงกับประชาชนยกเลิกยุทธศาสตร์ชาติ 20 ปี เพื่อให้นโยบายเท่าทันโลก และกำจัดข้ออ้างในการไล่รัฐบาลที่มาจากการเลือกตั้งปลดล็อกท้องถิ่น เพื่อให้อำนาจในการกำหนดอนาคตของทุกพื้นที่ทุกจังหวัด อยู่ในมือของประชาชนผู้เกิด-ผู้อาศัย-ผู้ใช้ชีวิตในพื้นที่ ไม่ใช่ส่วนกลางร่างรัฐธรรมนูญใหม่โดยต้องเป็นรัฐธรรมนูญที่ขีดเขียนโดยประชาชน กล่าวคือรัฐธรรมนูญต้องร่างโดยสมาชิกสภาร่างรัฐธรรมนูญ (สสร.) ที่มาจากเลือกตั้ง 100% และมีอำนาจพิจารณาแก้ไขทั้งฉบับ ทุกหมวดทุกมาตรา เพื่อโอบรับความฝันของทุกคนในประเทศอย่างแท้จริง	นโยบายที่ 1 รัฐธรรมนูญใหม่ทั้งฉบับ solution ร่างรัฐธรรมนูญใหม่โดยมีเนื้อหาที่ครอบคลุมอย่างน้อย 3 ด้านปิดช่องรัฐประหาร เพื่อไม่ให้รัฐธรรมนูญถูกฉีกได้ง่ายเพิ่มสิทธิของประชาชนในการต่อต้านรัฐประหาร และ กำหนดให้เป็นหน้าที่ของเจ้าหน้าที่ในการไม่ปฏิบัติตามคำสั่งของคณะรัฐประหารห้ามศาลทั้งปวงรับรองรัฐประหาร และกำหนดให้ทุกสถาบันทางการเมืองมีหน้าที่ร่วมกันในการปกป้องประชาธิปไตยห้ามนิรโทษกรรมคณะรัฐประหาร และ เปิดช่องให้ประชาชนดำเนินคดีกับผู้ก่อรัฐประหารในความผิดฐานกบฎได้ปกป้องเสียงของประชาชน ผ่านการรื้อกลไกที่ถูกใช้ในการสืบทอดอำนาจยกเลิกวุฒิสภาของ คสช. ทำให้รัฐสภาเป็นของประชาชน อำนาจ-ที่มามีความชอบธรรมยกเครื่องศาลรัฐธรรมนูญ-องค์กรอิสระ ทำให้เป็นกลาง มีระบบตรวจสอบที่ยึดโยงกับประชาชนยกเลิกยุทธศาสตร์ชาติ 20 ปี เพื่อให้นโยบายเท่าทันโลก และกำจัดข้ออ้างในการไล่รัฐบาลที่มาจากการเลือกตั้งปลดล็อกท้องถิ่น เพื่อให้อำนาจในการกำหนดอนาคตของทุกพื้นที่ทุกจังหวัด อยู่ในมือของประชาชนผู้เกิด-ผู้อาศัย-ผู้ใช้ชีวิตในพื้นที่ ไม่ใช่ส่วนกลางร่างรัฐธรรมนูญใหม่โดยต้องเป็นรัฐธรรมนูญที่ขีดเขียนโดยประชาชน กล่าวคือรัฐธรรมนูญต้องร่างโดยสมาชิกสภาร่างรัฐธรรมนูญ (สสร.) ที่มาจากเลือกตั้ง 100% และมีอำนาจพิจารณาแก้ไขทั้งฉบับ ทุกหมวดทุกมาตรา เพื่อโอบรับความฝันของทุกคนในประเทศอย่างแท้จริง
2	แก้รัฐธรรมนูญ รื้อกลไกสืบทอดอำนาจ	แก้ไขรัฐธรรมนูญรายมาตรา ระหว่างการจัดทำรัฐธรรมนูญฉบับใหม่ โดยเน้นการรื้อกลไกที่ถูกใช้ในการสืบทอดอำนาจยกเลิกวุฒิสภาของ คสช. ทำให้รัฐสภาเป็นของประชาชน อำนาจ-ที่มามีความชอบธรรมศาลรัฐธรรมนูญ-องค์กรอิสระ ทำให้เป็นกลาง มีระบบตรวจสอบที่ยึดโยงกับประชาชนยกเลิกยุทธศาสตร์ชาติ 20 ปี เพื่อให้นโยบายเท่าทันโลก และกำจัดข้ออ้างในการไล่รัฐบาลที่มาจากการเลือกตั้ง	นโยบายที่ 2 แก้รัฐธรรมนูญ รื้อกลไกสืบทอดอำนาจ solution แก้ไขรัฐธรรมนูญรายมาตรา ระหว่างการจัดทำรัฐธรรมนูญฉบับใหม่ โดยเน้นการรื้อกลไกที่ถูกใช้ในการสืบทอดอำนาจยกเลิกวุฒิสภาของ คสช. ทำให้รัฐสภาเป็นของประชาชน อำนาจ-ที่มามีความชอบธรรมศาลรัฐธรรมนูญ-องค์กรอิสระ ทำให้เป็นกลาง มีระบบตรวจสอบที่ยึดโยงกับประชาชนยกเลิกยุทธศาสตร์ชาติ 20 ปี เพื่อให้นโยบายเท่าทันโลก และกำจัดข้ออ้างในการไล่รัฐบาลที่มาจากการเลือกตั้ง
3	ประชามติ จัดทำรัฐธรรมนูญฉบับใหม่	จัดให้มีการทำประชามติเพื่อถามประชาชนว่าควรมีร่างรัฐธรรมนูญฉบับใหม่หรือไม่ ภายใน 100 วันแรก ของรัฐบาลก้าวไกล	นโยบายที่ 3 ประชามติ จัดทำรัฐธรรมนูญฉบับใหม่ solution จัดให้มีการทำประชามติเพื่อถามประชาชนว่าควรมีร่างรัฐธรรมนูญฉบับใหม่หรือไม่ ภายใน 100 วันแรก ของรัฐบาลก้าวไกล
4	เลือกตั้งท้องถิ่นล่วงหน้า-นอกเขต-นอกราชอาณาจักรได้	เปิดให้ประชาชนเลือกตั้งท้องถิ่นล่วงหน้า-นอกเขต-นอกราชอาณาจักร ได้ เหมือนการเลือกตั้งทั่วไป	นโยบายที่ 4 เลือกตั้งท้องถิ่นล่วงหน้า-นอกเขต-นอกราชอาณาจักรได้ solution เปิดให้ประชาชนเลือกตั้งท้องถิ่นล่วงหน้า-นอกเขต-นอกราชอาณาจักร ได้ เหมือนการเลือกตั้งทั่วไป
5	เลือกตั้งตามเขตที่อาศัยอยู่จริงได้	เปิดให้ประชาชนมีสิทธิเลือกตั้งตามที่อยู่จริงได้ ผ่านการสร้างระบบที่ประชาชนสามารถลงทะเบียนล่วงหน้าได้ เพื่อขอใช้สิทธิลงคะแนนตามพื้นที่ที่ตนเองอาศัยอยู่จริง แทนพื้นที่ที่ถูกระบุในที่อยู่ตามทะเบียนบ้าน	นโยบายที่ 5 เลือกตั้งตามเขตที่อาศัยอยู่จริงได้ solution เปิดให้ประชาชนมีสิทธิเลือกตั้งตามที่อยู่จริงได้ ผ่านการสร้างระบบที่ประชาชนสามารถลงทะเบียนล่วงหน้าได้ เพื่อขอใช้สิทธิลงคะแนนตามพื้นที่ที่ตนเองอาศัยอยู่จริง แทนพื้นที่ที่ถูกระบุในที่อยู่ตามทะเบียนบ้าน
6	เอาทหารออกจากการเมือง	แจกใบแดงนายพลให้ห้ามดำรงตำแหน่งรัฐมนตรีเป็นเวลา 7 ปี หลังออกจากราชการ เพื่อไม่ให้เกิดการแทรกแซงการเมืองโดยกองทัพ หรือโดยอดีตนายพลที่ยังคงมีสายสัมพันธ์ในกองทัพ (ซึ่งเป็นแนวทางเดียวกับที่สหรัฐอเมริกาใช้สำหรับตำแหน่งรัฐมนตรีกลาโหม)	นโยบายที่ 6 เอาทหารออกจากการเมือง solution แจกใบแดงนายพลให้ห้ามดำรงตำแหน่งรัฐมนตรีเป็นเวลา 7 ปี หลังออกจากราชการ เพื่อไม่ให้เกิดการแทรกแซงการเมืองโดยกองทัพ หรือโดยอดีตนายพลที่ยังคงมีสายสัมพันธ์ในกองทัพ (ซึ่งเป็นแนวทางเดียวกับที่สหรัฐอเมริกาใช้สำหรับตำแหน่งรัฐมนตรีกลาโหม)
7	กองทัพอยู่ใต้รัฐบาลพลเรือน ยกเลิกสภากลาโหม	เปลี่ยนจากระบบบังคับบัญชาเป็นระบบเสนาธิการร่วมที่มีรัฐมนตรีกลาโหมเป็นผู้บังคับบัญชา เพื่อให้การตัดสินใจต่าง ๆ ของเหล่าทัพยึดโยงกับอำนาจที่มาจากการเลือกตั้ง ซึ่งจะเป็นการลดโอกาสการเกิดรัฐประหารด้วยยกเลิกอำนาจพิเศษของกองทัพที่อยู่เหนือรัฐบาลพลเรือนที่มาจากเสียงของประชาชน (เช่น สภากลาโหมที่มีอำนาจเหนือรัฐมนตรีในการกำหนดนโยบายทางการทหาร บอร์ดแต่งตั้งนายพลที่ประกอบไปด้วยนายทหารเป็นส่วนใหญ่)	นโยบายที่ 7 กองทัพอยู่ใต้รัฐบาลพลเรือน ยกเลิกสภากลาโหม solution เปลี่ยนจากระบบบังคับบัญชาเป็นระบบเสนาธิการร่วมที่มีรัฐมนตรีกลาโหมเป็นผู้บังคับบัญชา เพื่อให้การตัดสินใจต่าง ๆ ของเหล่าทัพยึดโยงกับอำนาจที่มาจากการเลือกตั้ง ซึ่งจะเป็นการลดโอกาสการเกิดรัฐประหารด้วยยกเลิกอำนาจพิเศษของกองทัพที่อยู่เหนือรัฐบาลพลเรือนที่มาจากเสียงของประชาชน (เช่น สภากลาโหมที่มีอำนาจเหนือรัฐมนตรีในการกำหนดนโยบายทางการทหาร บอร์ดแต่งตั้งนายพลที่ประกอบไปด้วยนายทหารเป็นส่วนใหญ่)
8	ตั้งผู้ตรวจการกองทัพ ประชาชนตรวจสอบกองทัพได้	ตั้งผู้ตรวจการกองทัพที่มาจากสภาผู้แทนราษฎร เพื่อทำหน้าที่ตรวจสอบการทำงานของกองทัพ โดยครอบคลุมถึง (1) การตรวจสอบการใช้อำนาจอย่างไม่เป็นธรรม หรือการกระทำที่ขัดหลักกองทัพอยู่ใต้รัฐบาลพลเรือน (2) การตรวจสอบการใช้จ่ายงบประมาณของกองทัพ รายได้ของกองทัพ และโครงการจัดซื้อจัดจ้าง (3) การพิจารณาและสืบสวนข้อร้องเรียนเกี่ยวกับกรณีที่มีการละเมิดสิทธิมนุษยชนของทหาร	นโยบายที่ 8 ตั้งผู้ตรวจการกองทัพ ประชาชนตรวจสอบกองทัพได้ solution ตั้งผู้ตรวจการกองทัพที่มาจากสภาผู้แทนราษฎร เพื่อทำหน้าที่ตรวจสอบการทำงานของกองทัพ โดยครอบคลุมถึง (1) การตรวจสอบการใช้อำนาจอย่างไม่เป็นธรรม หรือการกระทำที่ขัดหลักกองทัพอยู่ใต้รัฐบาลพลเรือน (2) การตรวจสอบการใช้จ่ายงบประมาณของกองทัพ รายได้ของกองทัพ และโครงการจัดซื้อจัดจ้าง (3) การพิจารณาและสืบสวนข้อร้องเรียนเกี่ยวกับกรณีที่มีการละเมิดสิทธิมนุษยชนของทหาร
9	ยกเลิกศาลทหาร	ยกเลิกศาลทหารในสถานการณ์ปกติ โดยให้มีได้เฉพาะช่วงการประกาศสงครามเท่านั้น โดยให้คดีเกี่ยวกับวินัยทหาร และคดีอาญาที่ทหารเป็นคู่ความ ให้เข้าสู่กระบวนการยุติธรรมปกติผ่านศาลปกครอง และศาลยุติธรรม  	นโยบายที่ 9 ยกเลิกศาลทหาร solution ยกเลิกศาลทหารในสถานการณ์ปกติ โดยให้มีได้เฉพาะช่วงการประกาศสงครามเท่านั้น โดยให้คดีเกี่ยวกับวินัยทหาร และคดีอาญาที่ทหารเป็นคู่ความ ให้เข้าสู่กระบวนการยุติธรรมปกติผ่านศาลปกครอง และศาลยุติธรรม  
10	ลดขนาดกองทัพ 30-40%	ลดกำลังพลในภาพรวมลง 30-40% ซึ่งประกอบไปด้วยการลดจำนวนนายพลเหลือ 400 นายลดจำนวนทหารกองประจำการหรือพลทหารควบรวมสำนักปลัดกลาโหมเข้ากับกองบัญชาการกองทัพไทยกำหนดให้ทุกเหล่าทัพใช้ผู้ช่วยทูตทหารร่วมกันลดความซ้ำซ้อนของหน่วยงานอื่นๆ (เช่น ธุรการ งานวิจัย ส่งกำลังบำรุง)โอนภารกิจ-งบที่ไม่เกี่ยวกับการทหาร (เช่น สร้าง-ซ่อมถนน พัฒนาแหล่งน้ำ) ให้หน่วยงานพลเรือนที่เกี่ยวข้อง และทำเรื่องขอใช้กำลังพลหากมีความต้องการเป็นกรณี	นโยบายที่ 10 ลดขนาดกองทัพ 30-40% solution ลดกำลังพลในภาพรวมลง 30-40% ซึ่งประกอบไปด้วยการลดจำนวนนายพลเหลือ 400 นายลดจำนวนทหารกองประจำการหรือพลทหารควบรวมสำนักปลัดกลาโหมเข้ากับกองบัญชาการกองทัพไทยกำหนดให้ทุกเหล่าทัพใช้ผู้ช่วยทูตทหารร่วมกันลดความซ้ำซ้อนของหน่วยงานอื่นๆ (เช่น ธุรการ งานวิจัย ส่งกำลังบำรุง)โอนภารกิจ-งบที่ไม่เกี่ยวกับการทหาร (เช่น สร้าง-ซ่อมถนน พัฒนาแหล่งน้ำ) ให้หน่วยงานพลเรือนที่เกี่ยวข้อง และทำเรื่องขอใช้กำลังพลหากมีความต้องการเป็นกรณี
